ID,Shift_ID,Type,Realization,Status,Direction,Source_Concept,Source_Concept_ID,Target_Concept,Target_Concept_ID,Source_Language,Source_Language_ID,Target_Language,Target_Language_ID,Source_Meaning,Target_Meaning,Source_Word,Target_Word
29942,shift5057,Polysemy,1,ACCEPTED,→,dry,4491,dry (wine),4492,English,153,English,153,dry,dry (wine),dry,dry
29943,shift5057,Polysemy,2,ACCEPTED,→,dry,4491,dry (wine),4492,Norwegian,24,Norwegian,24,dry,dry (wine),tørr,tørr
29946,shift5057,Polysemy,5,ACCEPTED,→,dry,4491,dry (wine),4492,Danish,173,Danish,173,dry,dry (wine),tør,tør
29951,shift5057,Polysemy,10,ACCEPTED,→,dry,4491,dry (wine),4492,Swedish,135,Swedish,135,dry,dry (wine),torr,torr
29957,shift2875,Derivation,2,ACCEPTED,→,torso,3413,fat (adj.)(of a person),1239,German,169,German,169,"trunk, body","fat, portly",Leib,beleibt
29972,shift5604,Derivation,5,ACCEPTED,→,to pray,2996,mantis,582,Dutch,255,Dutch,255,to pray,mantis,bidden,bidsprinkhaan
29973,shift5604,Derivation,6,ACCEPTED,→,to pray,2996,mantis,582,English,153,English,153,to pray,species Mantis religiosa; any of various predatory insects of the Mantidae family,pray,praying mantis
29974,shift5604,Derivation,7,ACCEPTED,→,to pray,2996,mantis,582,German,169,German,169,female worshipper,mantis,Anbeterin,Gottesanbeterin
29978,shift5604,Derivation,11,ACCEPTED,→,to pray,2996,mantis,582,Swedish,135,Swedish,135,prayer,mantis,bön,bönsyrsa
30032,shift4421,Polysemy,5,ACCEPTED,→,almond,1973,tonsil,3401,Romansh,35,Romansh,35,almond,tonsil,mandel,mandel
30033,shift4421,Polysemy,6,ACCEPTED,→,almond,1973,tonsil,3401,Swedish,135,Swedish,135,almond,tonsil,mandel,mandel
30034,shift4421,Polysemy,7,ACCEPTED,→,almond,1973,tonsil,3401,Norwegian,24,Norwegian,24,almond,tonsil,mandel,mandel
30035,shift4421,Polysemy,8,ACCEPTED,→,almond,1973,tonsil,3401,Danish,173,Danish,173,almond,tonsil,mandel,mandel
30042,shift4421,Polysemy,15,ACCEPTED,→,almond,1973,tonsil,3401,German,169,German,169,almond,tonsil,Mandel,Mandel
30043,shift4421,Polysemy,16,ACCEPTED,→,almond,1973,tonsil,3401,Dutch,255,Dutch,255,almond (nut),tonsil,amandel,amandel
30055,shift0674,Polysemy,2,ACCEPTED,—,&lt;artiodactyl (even-toed animal)&gt;,1917,woman,109,English,153,English,153,jade,bad-tempered or disreputable woman,jade,jade
30058,shift0674,Polysemy,5,ACCEPTED,→,&lt;artiodactyl (even-toed animal)&gt;,1917,woman,109,English,153,English,153,"(UK, derogatory, slang) a foolish woman",woman,mare,mare
30069,shift1361,Polysemy,2,ACCEPTED,?,to change (tr.),2417,to change clothes,2418,English,153,English,153,to change,to change (clothes),change,change
30071,shift1361,Polysemy,4,ACCEPTED,?,to change (tr.),2417,to change clothes,2418,English,153,English,153,to change,to change clothes (scot.),shift,shift
30077,shift6406,Derivation,3,ACCEPTED,→,hair,1541,comet,1043,Old English,114,Old English,114,hair,comet,feax,feaxede steorra
30080,shift5957,Polysemy,2,ACCEPTED,→,to wither,3379,to lose colour,2867,English,153,English,153,"to grow weak; to lose strength; to decay; to perish gradually; to wither, as a plant","To lose freshness, color, or brightness; to become faint in hue or tint; hence, to be wanting in color",fade,fade
30085,shift8333,Polysemy,5,ACCEPTED,—,child,957,girl,786,Middle English,6,Middle English,6,child of either sex,"girl, young woman","girle, gyrle, gurle, geerle, garle","girle, gyrle, gurle, geerle, garle"
30176,shift7182,Motivation,1,NEW,→,butcher,3730,shrike,4058,English,153,English,153,butcher,(US) shrike,butcher,butcherbird
30190,shift0489,Polysemy,9,ACCEPTED,→,mouth,735,speech,4193,Norwegian,24,Norwegian,24,mouth,speech,munn,munn
30191,shift0489,Polysemy,10,ACCEPTED,→,mouth,735,speech,4193,Danish,173,Danish,173,mouth,speech,mund,mund
30192,shift0489,Polysemy,11,ACCEPTED,→,mouth,735,speech,4193,Swedish,135,Swedish,135,mouth,speech,mun,mun
30195,shift6226,Polysemy,2,ACCEPTED,→,to break (intr.),2368,to break (of male voice),2369,English,153,English,153,to break (intr.),to break (of male voice),break,break
30196,shift6226,Polysemy,3,ACCEPTED,→,to break (intr.),2368,to break (of male voice),2369,German,169,German,169,to break (intr.),to break (of male voice),brechen,brechen
30216,shift2731,Polysemy,3,ACCEPTED,—,"board, plank",3638,"table, desk",2107,Old English,114,Old English,114,board,table,bord,bord
30220,shift2731,Polysemy,7,ACCEPTED,—,"board, plank",3638,"table, desk",2107,Danish,173,Danish,173,plank (in a ship),table; desk,bord,bord
30221,shift2731,Polysemy,8,ACCEPTED,—,"board, plank",3638,"table, desk",2107,Faroese,92,Faroese,92,plank (in a ship),table; desk,borð,borð
30222,shift2731,Polysemy,9,ACCEPTED,—,"board, plank",3638,"table, desk",2107,Icelandic,252,Icelandic,252,"plank, board (long flat piece of wood)",table; desk,borð,borð
30234,shift6491,Polysemy,1,NEW,→,curved,1167,homosexual,1639,Norwegian,24,Norwegian,24,curved,homosexual,skeiv,skeiv
30242,shift4053,Polysemy,6,ACCEPTED,→,to make sit,2897,to plant,2979,German,169,German,169,to cause to sit (to set),"to plant, put (a seed or plant) in the ground",setzen,setzen
30253,shift5616,Derivation,6,ACCEPTED,→,to hunt,2776,fighter plane,1277,German,169,German,169,"hunting, hunt",fighter plane,Jagd,Jagdflugzeug
30254,shift5616,Derivation,7,ACCEPTED,→,to hunt,2776,fighter plane,1277,Dutch,255,Dutch,255,"hunting, hunt",fighter plane,jacht,jachtvliegtuig
30268,shift4870,Derivation,4,ACCEPTED,→,square (geometrical),4233,diamonds (in cards),4429,Danish,173,Danish,173,square window pane; square,diamonds (in cards),rude,ruder
30274,shift7813,Motivation,1,ACCEPTED,→,cat,905,pyrite,500,German,169,German,169,cat,pyrite,Katze,Katzengold
30295,shift0764,Polysemy,7,ACCEPTED,—,bitter,3607,sad,3912,English,153,English,153,bitter,sad,bitter,bitter
30301,shift0764,Polysemy,13,ACCEPTED,→,bitter,3607,sad,3912,Norwegian,24,Norwegian,24,bitter,"sorrowful, disappointed",bitter,bitter
30302,shift0764,Polysemy,14,ACCEPTED,→,bitter,3607,sad,3912,Danish,173,Danish,173,bitter,"sorrowful, disappointed",bitter,bitter
30303,shift0764,Polysemy,15,ACCEPTED,→,bitter,3607,sad,3912,Swedish,135,Swedish,135,bitter,"sorrowful, angry",bitter,bitter
30304,shift0764,Polysemy,16,ACCEPTED,→,bitter,3607,sad,3912,Icelandic,252,Icelandic,252,bitter,sad,bitur,bitur
30332,shift4752,Derivation,1,NEW,→,gold,807,common bullfinch,1048,Dutch,255,Dutch,255,gold,bullfinch (Pyrrhula pyrrhula),goud,goudvink
30338,shift6874,Polysemy,2,NEW,→,light (n.),210,"state, situation",4250,English,153,English,153,light (n.),"state, situation",light,light
30347,shift1590,Polysemy,6,ACCEPTED,—,to fall down,2605,"to get (to), to find oneself (in)",2669,Norwegian,24,Norwegian,24,to fall down,to get (to),falle,falle
30348,shift1590,Polysemy,7,ACCEPTED,—,to fall down,2605,"to get (to), to find oneself (in)",2669,Swedish,135,Swedish,135,to fall down,"to get (to), to find oneself (in)",falla,falla
30349,shift1590,Polysemy,8,ACCEPTED,—,to fall down,2605,"to get (to), to find oneself (in)",2669,Icelandic,252,Icelandic,252,to fall down,"to get (to), to find oneself (in)",falla,falla
30354,shift2111,Polysemy,1,ACCEPTED,?,rooster,1497,bully,3718,English,153,English,153,rooster,bully,rooster,rooster
30378,shift0043,Polysemy,6,ACCEPTED,←,to want,3353,to love,2874,English,153,English,153,"to desire, to long for",to love,love,love
30390,shift1310,Derivation,5,ACCEPTED,→,to press,3002,"to restrain, control one’s feelings",3077,Norwegian,24,Norwegian,24,to press down,"to restrain, control one’s feelings",trykke,undertrykke
30391,shift1310,Derivation,6,ACCEPTED,→,to press,3002,"to restrain, control one’s feelings",3077,Danish,173,Danish,173,to press down,"to restrain, control one’s feelings",trykke,undertrykke
30392,shift1310,Derivation,7,ACCEPTED,→,to press,3002,"to restrain, control one’s feelings",3077,Swedish,135,Swedish,135,to press down,"to restrain, control one’s feelings",trycka,förtrycka
30403,shift7290,Motivation,1,ACCEPTED,→,Jesus Christ,1186,December,4401,Pennsylvania German,1266,Pennsylvania German,1266,Jesus Christ,December,Grischt,Grischtmunet
30418,shift3062,Polysemy,1,NEW,—,to blink (by eyes),2352,to tremble,3315,Old Norse,236,Old Norse,236,to twinkle,"to shake, shiver",titra,titra
30419,shift6729,Polysemy,1,ACCEPTED,→,"seat, chair",3977,bridge (of musical imstrument),3690,Danish,173,Danish,173,"seat, chair",bridge (of musical imstrument),stol,stol
30420,shift6729,Polysemy,2,ACCEPTED,→,"seat, chair",3977,bridge (of musical imstrument),3690,Norwegian,24,Norwegian,24,"seat, chair",bridge (of musical imstrument),stol,stol
30437,shift8396,Polysemy,2,NEW,→,to break (intr.),2368,to fall in love,2606,English,153,English,153,to squeeze or force by pressure so as to alter or destroy structure; to reduce to particles by pounding or grinding (Merriam-Webster),to experience an intense and usually passing infatuation  (Merriam-Webster),crush,crush
30496,shift1188,Polysemy,4,ACCEPTED,→,&lt;foreigner&gt;,1210,slave,4111,Old English,114,Old English,114,foreigner (initially Briton or Welshman),slave,wealh,wealh
30525,shift2583,Derivation,1,ACCEPTED,→,look (n.),252,"instant, moment",1789,German,169,German,169,"look, gaze",instant,Blick,Augenblick
30530,shift6123,Derivation,4,ACCEPTED,→,third,2175,Tuesday,3458,Icelandic,252,Icelandic,252,third,Tuesday,þriðja,priðjudagur
30537,shift2373,Polysemy,4,ACCEPTED,→,winter,94,year,2077,Old English,114,Old English,114,winter,year,winter,winter
30552,shift8376,Polysemy,1,ACCEPTED,→,goat,803,driver&#39;s seat,4483,German,169,German,169,"buck, ram; the male of certain animals, especially goat, sheep, and roedeer",a seat for a coachman,Bock,Bock
30554,shift8376,Polysemy,3,ACCEPTED,→,goat,803,driver&#39;s seat,4483,Luxembourgish,840,Luxembourgish,840,"buck, ram; the male of certain animals, especially goat, sheep, and roedeer",driver's seat,Bock,Bock
30555,shift8376,Polysemy,4,ACCEPTED,→,goat,803,driver&#39;s seat,4483,Swedish,135,Swedish,135,buck (male goat),a seat for a coachman,bock,bock
